code,display_name,name,list_date,delist_date,type,exchange,board
002048.XSHE,宁波华翔,NBHX,2005-06-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002051.XSHE,中工国际,ZGGJ,2006-06-19,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002053.XSHE,云南能投,YNNT,2006-06-27,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002055.XSHE,ST得润,STDR,2006-07-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002060.XSHE,广东建工,GDJG,2006-08-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002061.XSHE,浙江交科,ZJJK,2006-08-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002063.XSHE,远光软件,YGRJ,2006-08-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002068.XSHE,黑猫股份,HMGF,2006-09-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002073.XSHE,软控股份,RKGF,2006-10-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002075.XSHE,沙钢股份,SGGF,2006-10-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002077.XSHE,大港股份,DGGF,2006-11-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002079.XSHE,苏州固锝,SZGD,2006-11-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002081.XSHE,金螳螂,JTL,2006-11-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002083.XSHE,孚日股份,FRGF,2006-11-24,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002085.XSHE,万丰奥威,WFAW,2006-11-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002088.XSHE,鲁阳节能,LYJN,2006-11-30,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002091.XSHE,江苏国泰,JSGT,2006-12-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002093.XSHE,国脉科技,GMKJ,2006-12-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002095.XSHE,生意宝,SYB,2006-12-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002096.XSHE,易普力,YPL,2006-12-22,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002097.XSHE,山河智能,SHZN,2006-12-22,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002099.XSHE,海翔药业,HXYY,2006-12-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002100.XSHE,天康生物,TKSW,2006-12-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002101.XSHE,广东鸿图,GDHT,2006-12-29,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002104.XSHE,恒宝股份,HBGF,2007-01-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002106.XSHE,莱宝高科,LBGK,2007-01-12,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002108.XSHE,沧州明珠,CZMZ,2007-01-24,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002110.XSHE,三钢闽光,SGMG,2007-01-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002115.XSHE,三维通信,SWTX,2007-02-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002117.XSHE,东港股份,DGGF,2007-03-02,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002121.XSHE,科陆电子,KLDZ,2007-03-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002123.XSHE,梦网科技,MWKJ,2007-03-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002124.XSHE,天邦食品,TBSP,2007-04-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
